date,region,revenue,units,profit_margin,category
2024-01-15,North,12500,85,0.32,Electronics
2024-01-22,South,8700,62,0.28,Clothing
2024-02-05,North,15200,110,0.35,Electronics
2024-02-14,East,6300,45,0.22,Furniture
2024-02-28,South,9400,70,0.30,Clothing
2024-03-10,West,18900,130,0.38,Electronics
2024-03-18,North,11000,78,0.29,Furniture
2024-03-25,East,7200,50,0.25,Clothing
2024-04-02,South,10500,75,0.31,Electronics
2024-04-15,West,21000,145,0.40,Electronics
2024-04-22,North,13800,95,0.33,Clothing
2024-05-01,East,5800,40,0.20,Furniture
2024-05-12,South,11200,80,0.32,Electronics
2024-05-20,West,19500,135,0.37,Electronics
2024-05-28,North,14500,100,0.34,Furniture
2024-06-05,East,8100,58,0.26,Clothing
2024-06-15,South,9800,68,0.29,Clothing
2024-06-22,West,22500,155,0.42,Electronics
2024-06-30,North,16000,112,0.36,Electronics
2024-07-08,East,6900,48,0.23,Furniture
